# of initial: 940421490
initial %       #
d       11      102738722
y       9       89264905
sh      8       78185224
j       6       60251043
x       6       52646568
zh      6       51995442
h       5       49848324
g       5       46427088
l       5       46070010
b       5       45979167
w       4       40501485
m       4       35382204
z       4       33337269
t       3       31506581
q       3       27873173
n       3       27159555
r       3       24011040
ch      2       21577762
f       2       20682451
k       2       19919897
s       1       13306095
p       1       11635248
c       1       10122237

# of final: 950294801
final   %       #
i       17      157093754
e       12      111246835
u       8       74722162
en      5       44380504
an      4       39408484
ou      4       38960226
a       4       38399673
ai      4       38190020
ao      4       35919413
ian     4       33955869
uo      3       32097320
ing     3       28568841
ang     3       28251264
ong     3       28084595
ei      3       27845158
eng     2       23746910
ui      2       18714415
uan     2       18220972
o       2       17024398
in      2       15766724
ie      2       14533166
iao     1       13564920
iang    1       13229423
ue      1       11721619
iu      1       11152123
ia      1       10103918
un      1       7188177
ua      0       4556329
er      0       4252925
uang    0       3887608
v       0       3070058
uai     0       1670704
iong    0       529863
ve      0       236428
m       0       3
