# of initial: 305950456
initial %       #
y       10      31693964
d       10      30733667
sh      8       24067576
j       7       21795312
zh      6       17969964
x       6       17717746
h       5       15786556
b       5       14635533
g       5       14021689
l       5       13914179
w       3       10645476
z       3       10554134
m       3       9749661
t       3       9714820
q       3       9647457
f       3       8902776
ch      3       8832839
n       3       8254592
r       2       7288026
k       2       7209593
s       2       4880207
c       1       4043580
p       1       3891109

# of final: 309390313
final   %       #
i       17      51962975
e       10      31111027
u       9       27313853
ao      4       12428769
an      4       12378183
ian     4       12174593
ong     4       12028556
ou      4       11935614
ai      4       11692516
ing     4       11445403
en      3       10827516
ang     3       10451306
a       3       10370342
uo      3       9516918
eng     3       9322494
ei      3       8176857
uan     2       6967590
in      2       6353568
ui      2       6198308
iao     2       5486998
iang    1       4527955
ie      1       4174831
iu      1       3500887
ia      1       3297955
ue      1       3048604
o       1       3004382
un      1       2854565
uang    1       2051318
ua      1       1573405
er      0       1453976
v       0       869825
uai     0       675990
iong    0       152162
ve      0       61072
