# of initial: 2292002737
initial %       #
d       10      223344928
y       9       217685327
j       8       179719163
sh      8       171995021
zh      6       144603438
x       6       134925611
g       5       118009529
l       5       111211026
h       5       110368470
b       4       100597509
z       4       82073618
w       3       78928130
q       3       76815374
ch      3       76538286
t       3       76073830
m       3       69631430
f       3       66450558
r       2       53804343
n       2       50682880
k       2       47259151
s       2       36862708
p       1       32617793
c       1       31804614

# of final: 2316722395
final   %       #
i       16      377993299
e       9       219156330
u       9       203840815
ong     4       97440808
ian     4       95671506
an      4       94473555
ai      4       90160180
ing     4       85431663
ang     4       84355092
ou      4       83321663
ao      4       83280999
en      3       78484040
eng     3       74405776
a       3       70540240
uo      3       68974015
ei      3       66662812
uan     3       63354133
in      3       58094821
ui      2       46953903
iao     2       40690060
iang    2       37482739
ie      1       29147393
ia      1       26748598
ue      1       24224627
un      1       23856458
iu      1       23285125
o       1       17936440
uang    1       14225531
ua      1       12964976
er      0       10651474
v       0       7095829
uai     0       4014996
iong    0       975359
ve      0       827111
m       0       29
