# of initial: 15462508
initial %       #
d       11      1689928
y       9       1467504
sh      8       1286804
j       6       991185
x       6       868649
zh      6       856832
h       5       819813
g       5       762151
l       5       757286
b       5       755853
w       4       662367
m       4       580748
z       4       547653
t       3       517176
q       3       456359
n       3       446190
r       3       396202
ch      2       356539
f       2       338915
k       2       328536
s       1       217727
p       1       190899
c       1       167192

# of final: 15624389
final   %       #
i       17      2585199
e       12      1829037
u       8       1231291
en      5       727753
an      4       646882
ou      4       640165
a       4       630422
ai      4       628141
ao      4       592327
ian     4       557155
uo      3       526975
ing     3       469615
ang     3       464442
ong     3       462861
ei      3       456487
eng     3       390628
ui      2       307857
uan     2       297874
o       2       277449
in      2       257968
ie      2       240039
iao     1       223818
iang    1       217544
ue      1       192690
iu      1       183752
ia      1       166899
un      1       118003
ua      0       75718
er      0       69360
uang    0       64574
v       0       50780
uai     0       28012
iong    0       8737
ve      0       3933
m       0       2
